,precision,recall,f1-score,support
anger,0.9477124183006536,0.9666666666666667,0.9570957095709571,150.0
fear,0.9407894736842105,0.9727891156462585,0.9565217391304348,147.0
happiness,0.8980891719745223,0.94,0.9185667752442996,150.0
neutral,0.9375,0.9259259259259259,0.9316770186335404,162.0
sadness,0.9736842105263158,0.961038961038961,0.9673202614379085,154.0
surprised,0.9349593495934959,0.8582089552238806,0.8949416342412452,134.0
accuracy,0.9386845039018952,0.9386845039018952,0.9386845039018952,0.9386845039018952
macro avg,0.9387891040131996,0.9374382707502821,0.937687189709731,897.0
weighted avg,0.9389890885612446,0.9386845039018952,0.9384383998248169,897.0
